id	positive	nutral	negative
employee_875	0.6690880656242371	0.10303393751382828	0.22787801921367645
employee_635	0.5876027941703796	0.06466525048017502	0.3477320075035095
employee_178	0.5246183276176453	0.1764269322156906	0.2989547550678253
employee_63	0.9492909908294678	0.028024861589074135	0.022684108465909958
employee_667	0.959022045135498	0.024409834295511246	0.016568059101700783
employee_363	0.5677488446235657	0.1632997989654541	0.2689513564109802
employee_103	0.9158691167831421	0.04900334030389786	0.03512760251760483
employee_861	0.38534554839134216	0.34953778982162476	0.2651166617870331
employee_624	0.480304092168808	0.31403443217277527	0.20566144585609436
employee_550	0.2972632646560669	0.3863714039325714	0.3163653314113617
employee_808	0.008725108578801155	0.0544777512550354	0.9367971420288086
employee_1133	0.1602775603532791	0.4780978262424469	0.3616245985031128
employee_758	0.052349817007780075	0.37798890471458435	0.5696612596511841
employee_723	0.502768874168396	0.31196415424346924	0.1852668970823288
employee_1210	0.32828062772750854	0.1288784295320511	0.5428409576416016
employee_160	0.9422796964645386	0.035317402333021164	0.022402852773666382
employee_267	0.9501340389251709	0.03306809440255165	0.016797903925180435
employee_805	0.9092866778373718	0.03631825000047684	0.054395146667957306
employee_1201	0.38859987258911133	0.1317538022994995	0.47964635491371155
employee_922	0.13843537867069244	0.09515547752380371	0.766409158706665
employee_900	0.40888330340385437	0.15595902502536774	0.4351576864719391
employee_678	0.9692419767379761	0.015689324587583542	0.01506866980344057
employee_989	0.1671798825263977	0.19922906160354614	0.6335911154747009
employee_1026	0.42585060000419617	0.16590337455272675	0.4082459509372711
employee_177	0.8466494679450989	0.08351469784975052	0.0698358416557312
employee_350	0.16555359959602356	0.29876509308815	0.5356813073158264
employee_658	0.3033549189567566	0.1771162748336792	0.5195288062095642
employee_1119	0.1497984677553177	0.09518279135227203	0.7550187110900879
employee_525	0.6811614036560059	0.14859451353549957	0.17024417221546173
employee_277	0.4373053312301636	0.2591300904750824	0.30356454849243164
employee_203	0.5093342065811157	0.09949251264333725	0.39117324352264404
employee_689	0.9686384797096252	0.023611804470419884	0.00774975074455142
employee_382	0.0526190847158432	0.15828651189804077	0.7890944480895996
employee_538	0.9633165597915649	0.021804017946124077	0.014879484660923481
employee_594	0.9757221341133118	0.014823260717093945	0.009454600512981415
employee_344	0.16461524367332458	0.18406450748443604	0.651320219039917
